statement,label
"You are a helpful assistant. Please answer the question according to the given supporting facts. \n\n SUPPORT_FACTS:Fact1: Sitka, Kansas:Sitka is an unincorporated community in Clark County, Kansas, United States.; Fact2: Clark County, Kansas:Clark County (county code CA) is a county located in the U.S. state of Kansas.  As of the 2010 census, the county population was 2,215.  Its county seat and most populous city is Ashland. \n\n QUESTION:Sitka is a community in a county that had how many inhabitants as of the 2010 census ? \n\n Answer: 2,215.",0
"You are a helpful assistant. Please answer the question according to the given supporting facts. \n\n SUPPORT_FACTS:Fact1: The Bear (1984 film):The Bear is a 1984 biopic starring Gary Busey and Jon-Erik Hexum.  The film was written by Michael Kane, directed by Richard C. Sarafian, and produced by James A. Hearn and Larry G. Spangler.; Fact2: Jon-Erik Hexum:Jon-Erik Hexum (November 5, 1957 – October 18, 1984) was an American model and actor.  He died as a result of an accidental self-inflicted blank cartridge gunshot to the head on the set of the CBS television series ""Cover Up"", in which he played the male lead. \n\n QUESTION:What was the star in the film ""The Bear"" died by an accidental self inflicted blank cartridge gunshot to the head? \n\n Answer:  Jon-Erik Hexum.",0
"You are a helpful assistant. Please answer the question according to the given supporting facts. \n\n SUPPORT_FACTS:Fact1: Air (Cecil Taylor album):Air is an album by Cecil Taylor recorded for the Candid label in October 1960.  The album features performances by Taylor with Archie Shepp, Buell Neidlinger, Denis Charles and Sunny Murray on alternate takes of material released on ""The World of Cecil Taylor"" (1960).  The Allmusic review by Brian Olewnick states ""One can only imagine what the reaction of the average jazz fan was in 1960 when this session was recorded.  This is a wonderful document from early in Taylor's career, when he was midway between modernist approaches to standard material and his own radical experiments that would come to full fruition a few years hence... A classic recording that belongs in anyone's collection"".; Fact2: Sunny Murray:James Marcellus Arthur ""Sunny"" Murray (born September 21, 1936, in Idabel, Oklahoma) is one of the pioneers of the free jazz style of drumming. \n\n QUESTION:Air, an album by Cecil Taylor, features which performer born in Idabel, Oklahoma? \n\n Answer:  Sunny Murray",0
"You are a helpful assistant. Please answer the question according to the given supporting facts. \n\n SUPPORT_FACTS:Fact1: Oleg Kagan:Oleg Moiseyevich Kagan (Russian: Оле́г Моисе́евич Кага́н; 22 November 1946 Yuzhno-Sakhalinsk, Russian SFSR – 15 July 1990, Munich, West Germany) was a Soviet violinist, known for his chamber collaborations with such musicians as pianist Sviatoslav Richter and cellist Natalia Gutman, his wife.  He was also a significant proponent of modern music, in particular Berg's Violin Concerto.  Several recently released concert recordings have added to his posthumous reputation.; Fact2: Sviatoslav Richter:Sviatoslav Teofilovich Richter (Russian: Святосла́в Теофи́лович Ри́хтер , ""Sviatosláv Teofílovich Ríkhter""; ] ; March 20 [O.S. March 7] 1915 – August 1, 1997) was a Soviet pianist known for the depth of his interpretations, virtuoso technique, and vast repertoire.  He is considered one of the greatest pianists of the 20th century. \n\n QUESTION:Oleg Moiseyevich Kagan collaborated with which Soviet pianist who died August 1, 1997? \n\n Answer:  Sviatoslav Richter",0
"You are a helpful assistant. Please answer the question according to the given supporting facts. \n\n SUPPORT_FACTS:Fact1: Joe Smith Jr.:Joe Smith Jr. (born September 20, 1989) is an American professional boxer who held the regional WBC International light heavyweight title from 2016 to 2017.  He rose to prominence in 2016 by scoring an upset knockout victory over Andrzej Fonfara, and later becoming the first boxer to score a stoppage victory over former world champion Bernard Hopkins, who retired after their fight.; Fact2: Andrzej Fonfara:Andrzej Fonfara (born 4 November 1987) is a Polish professional boxer who held the IBO light heavyweight title from 2012 to 2013.  He currently resides in Chicago, the city with the third largest Polish population in the world behind Warsaw and New York City. \n\n QUESTION:When was the Polish professional boxer over which Joe Smith Jr. rose to prominence in 2016 by scoring an upset knockout victory born?  \n\n Answer: 4 November 1987",0
"You are a helpful assistant. Please answer the question according to the given supporting facts. \n\n SUPPORT_FACTS:Fact1: Jon Sortland:Jon Sortland (born September 12, 1973) is an American musician, currently playing the drums for indie rock band The Shins.  Sortland also drums, plays bass and keyboards and provides backing vocals in the band Broken Bells.  Sortland is also the drummer and singer in the band E V Kain.  Sortland is endorsed by Paiste and C&C Drums.; Fact2: The Shins:The Shins are an American indie rock band from Albuquerque, New Mexico, formed in 1996.  The band's current lineup consists of James Mercer (vocals, guitar, songwriter), Jon Sortland (drums), Mark Watrous (guitar), Casey Foubert (guitar), Yuuki Matthews (bass), and Patti King (keyboards).  The band is based in Portland, Oregon. \n\n QUESTION:Jon Sortland plays drums for an American indie rock band from Albuquerque, New Mexico, that formed in what year? \n\n Answer: 1996",0
"You are a helpful assistant. Please answer the question according to the given supporting facts. \n\n SUPPORT_FACTS:Fact1: Suite, Op. 14 (Bartók):The Suite, Op. 14, Sz.  62, BB 70 is a piece for solo piano written by Béla Bartók.  It was written in February 1916, published in 1918, and debuted by the composer on April 21, 1919, in Budapest.  The Suite is one of Bartók's most significant works for piano, only comparable with his 1926 Piano Sonata.  Though much of Bartók's work makes frequent use of Eastern European folk music, this suite is one of the few pieces without melodies of folk origin.  However, Romanian, Arabic, and North African rhythmic influences can still be found in some movements.  Originally intending the suite to be a five-movement work, Bartók later decided against the idea and discarded the second movement, the ""Andante"", which was published only posthumously in the October 1955 issue of ""Új Zenei Szemle"" (New Musical Review).; Fact2: Suite, Op. 14 (Bartók):The Suite, Op. 14, Sz.  62, BB 70 is a piece for solo piano written by Béla Bartók.  It was written in February 1916, published in 1918, and debuted by the composer on April 21, 1919, in Budapest.  The Suite is one of Bartók's most significant works for piano, only comparable with his 1926 Piano Sonata.  Though much of Bartók's work makes frequent use of Eastern European folk music, this suite is one of the few pieces without melodies of folk origin.  However, Romanian, Arabic, and North African rhythmic influences can still be found in some movements.  Originally intending the suite to be a five-movement work, Bartók later decided against the idea and discarded the second movement, the ""Andante"", which was published only posthumously in the October 1955 issue of ""Új Zenei Szemle"" (New Musical Review).; Fact3: Suite, Op. 14 (Bartók):The Suite, Op. 14, Sz.  62, BB 70 is a piece for solo piano written by Béla Bartók.  It was written in February 1916, published in 1918, and debuted by the composer on April 21, 1919, in Budapest.  The Suite is one of Bartók's most significant works for piano, only comparable with his 1926 Piano Sonata.  Though much of Bartók's work makes frequent use of Eastern European folk music, this suite is one of the few pieces without melodies of folk origin.  However, Romanian, Arabic, and North African rhythmic influences can still be found in some movements.  Originally intending the suite to be a five-movement work, Bartók later decided against the idea and discarded the second movement, the ""Andante"", which was published only posthumously in the October 1955 issue of ""Új Zenei Szemle"" (New Musical Review).; Fact4: Suite, Op. 14 (Bartók):The Suite, Op. 14, Sz.  62, BB 70 is a piece for solo piano written by Béla Bartók.  It was written in February 1916, published in 1918, and debuted by the composer on April 21, 1919, in Budapest.  The Suite is one of Bartók's most significant works for piano, only comparable with his 1926 Piano Sonata.  Though much of Bartók's work makes frequent use of Eastern European folk music, this suite is one of the few pieces without melodies of folk origin.  However, Romanian, Arabic, and North African rhythmic influences can still be found in some movements.  Originally intending the suite to be a five-movement work, Bartók later decided against the idea and discarded the second movement, the ""Andante"", which was published only posthumously in the October 1955 issue of ""Új Zenei Szemle"" (New Musical Review).; Fact5: Béla Bartók:Béla Viktor János Bartók ( ; ] ; 25 March 1881 – 26 September 1945) was a Hungarian composer, pianist and an ethnomusicologist.  He is considered one of the most important composers of the 20th century; he and Liszt are regarded as Hungary's greatest composers .  Through his collection and analytical study of folk music, he was one of the founders of comparative musicology, which later became ethnomusicology. \n\n QUESTION:What Hungarian composer wrote a piece for solo piano which contained Romanian, Arabic, and North African rhythmic influences? \n\n Answer:  Béla Bartók",0
"You are a helpful assistant. Please answer the question according to the given supporting facts. \n\n SUPPORT_FACTS:Fact1: An American Christmas Carol:An American Christmas Carol is a 1979 American made-for-television fantasy drama film directed by Eric Till and based on Charles Dickens' 1843 novel a ""A Christmas Carol"".; Fact2: Charles Dickens:Charles John Huffam Dickens ( ; 7 February 1812 – 9 June 1870) was an English writer and social critic.  He created some of the world's best-known fictional characters and is regarded by many as the greatest novelist of the Victorian era.  His works enjoyed unprecedented popularity during his lifetime, and by the 20th century critics and scholars had recognised him as a literary genius.  His novels and short stories enjoy lasting popularity.; Fact3: Charles Dickens:Charles John Huffam Dickens ( ; 7 February 1812 – 9 June 1870) was an English writer and social critic.  He created some of the world's best-known fictional characters and is regarded by many as the greatest novelist of the Victorian era.  His works enjoyed unprecedented popularity during his lifetime, and by the 20th century critics and scholars had recognised him as a literary genius.  His novels and short stories enjoy lasting popularity. \n\n QUESTION:Which era was this English writer and social critic active, whose 1843 novel inspired the 1979 American made-for-television fantasy drama film ""An American Christmas Carol?"" \n\n Answer:  Victorian era.",0
"You are a helpful assistant. Please answer the question according to the given supporting facts. \n\n SUPPORT_FACTS:Fact1: Green Bushes:Green Bushes is an English folk song (Roud #1040, Laws P2) which is featured in the second movement of Ralph Vaughan Williams' ""English Folk Song Suite"", in Percy Grainger's ""Green Bushes (Passacaglia on an English Folksong)"", and in George Butterworth's ""The Banks of Green Willow"".  The melody is very similar to that of the ""Lost Lady Found"" movement of Percy Grainger's Lincolnshire Posy, and to The Cutty Wren.; Fact2: Lincolnshire Posy:Lincolnshire Posy is a piece by Percy Grainger for concert band composed in 1937 for the American Bandmasters Association.  Considered Grainger's masterpiece, the 16-minute-long work is composed of six movements, each adapted from folk songs that Grainger had collected on a 1905–1906 trip to Lincolnshire, England.  The work debuted with three of the movements on March 7, 1937 by the Milwaukee Symphonic Band, a group composed of members from several bands including the Blatz Brewery and Pabst Blue Ribbon beer factory worker bands in Milwaukee, Wisconsin. \n\n QUESTION:What piece was composed in 1937 for the American Bandmasters Association and has a melody similar to Green Bushes? \n\n Answer:  Lincolnshire Posy.",0
"You are a helpful assistant. Please answer the question according to the given supporting facts. \n\n SUPPORT_FACTS:Fact1: City Hall station (SEPTA):City Hall is a SEPTA subway station in Philadelphia, Pennsylvania.  It serves the Broad Street Line and is located in Center City Philadelphia underneath Philadelphia City Hall.  It is the busiest station on the line, serving 57,000 passengers daily.  City Hall station is served by Local, Express, and Special ""Sport Express"" trains.  Entrances are located on both the east and west sides of City Hall as well as in the central courtyard.; Fact2: Philadelphia City Hall:Philadelphia City Hall, built in 1901 and located at 1 Penn Square, is the seat of government for the city of Philadelphia, Pennsylvania. \n\n QUESTION:In what year was the City Hall that is built above City Hall station built? \n\n Answer: 1901.",0
