statement,label
"Sitka is a community in a county that had how many inhabitants as of the 2010 census ?2,215.",0
"What was the star in the film ""The Bear"" died by an accidental self inflicted blank cartridge gunshot to the head? Jon-Erik Hexum.",0
"Air, an album by Cecil Taylor, features which performer born in Idabel, Oklahoma? Sunny Murray",0
"Oleg Moiseyevich Kagan collaborated with which Soviet pianist who died August 1, 1997? Sviatoslav Richter",0
When was the Polish professional boxer over which Joe Smith Jr. rose to prominence in 2016 by scoring an upset knockout victory born? 4 November 1987,0
"Jon Sortland plays drums for an American indie rock band from Albuquerque, New Mexico, that formed in what year?1996",0
"What Hungarian composer wrote a piece for solo piano which contained Romanian, Arabic, and North African rhythmic influences? Béla Bartók",0
"Which era was this English writer and social critic active, whose 1843 novel inspired the 1979 American made-for-television fantasy drama film ""An American Christmas Carol?"" Victorian era.",0
What piece was composed in 1937 for the American Bandmasters Association and has a melody similar to Green Bushes? Lincolnshire Posy.,0
In what year was the City Hall that is built above City Hall station built?1901.,0
Jim Sheridan is a director who created the sports-drama film released in what year?1997,0
Filmmaker Greg Carter is from which Texas city in Harris County? Houston,0
What is the single word name of the island that housed a federal prison from 1934 to 1963? Alcatraz,0
"A musical who has music by Matthew sklar, lyrics by Chad Beguelin and a book by Beguelin and Tim Herlihy was based on a film from what year?1998",0
"Which former professional tennis player is now a sports commentator, Jim Pugh or John Lloyd? John Lloyd",0
Roman Coppola was a screenwriter who wrote which 2012 coming-of-age film? Moonrise Kingdom,0
The school where John Rickard served as Director of the Graduate School of Management was established in what year?1974,0
"Operation ""Greif"" was a special operation during a battle where which forces incurred their  highest casualties of any operation during the war ? American forces.",0
Which leading Soviet Armenian composer composed the ballet whose libretto was written by Konstantin Derzhavin? Aram Khachaturian.,0
Situational analysis was coined in a book by Karl Popper in what year?1957,0
"What year did American director of music videos, Melina Matsoukas direct Rihanna's single ""We Found Love""?2011",0
"One Plus One is One is the fourth studio album by what English indie singer-songwriter and multi-instrumentalist, who was born in Dunstable, Bedfordshire? Badly Drawn Boy",0
"Which player from ""Fergie's Fledglings"" was co-owner of Salford City? Gary Neville.",0
Which Minnesota Timberwolves player was around 20 or younger in the 2015-16 season and also played for University of Kentucky ? Karl-Anthony Towns.,0
"Treklanta (formerly ""TrekTrax Atlanta"") is an annual convention for what American science fiction media franchise? Star Trek",0
"What is the name of this American actor, comedian, and musician, born in 1980, who starred with Jason Ritter in ""Ode to Janice Melt""? Simon Helberg",0
Reunion is a sculpture by a man born in what year?1946,0
"Which alternative/punk band from Moscow has a track called ""The Time of X""?  Louna.",0
"Just Dance Kids is a video game for which console released by Nintendo on November 19, 2006? Wii",0
Google's rival santa tracker has existed since what year?1955,0
Taxi 4 is a 2007 French comedy film that featured which French footballer who plays for Swiss club Yverdon? Djibril Cissé,0
What was the name of the band that Vicentico co-founded and produced the album Los Rayos? Los Fabulosos Cadillacs.,0
Which National Basketball Association player played his entire career with the team that Gregg Popovich coached? Tim Duncan,0
The Adventures of Mimi is a DVD by the singer and actress who released her first album in what year?1990,0
When was the national park Mount Le Conte is located in chartered by Congress?1934.,0
The 2011 Grand Slam of Darts was sponsored by which London-based bookmaker? William Hill.,0
"Who recorded a song released in 2010 as the second single from Kracker's album ""Happy Hour"" and also made ""Devil Without a Cause""? Kid Rock.",0
"Which of the actors starred in Curly Sue is an American comic actor, voice actor, comedian, singer and musician? Jim Belushi",0
What posthumous collection of essays by William Gaddis was published at the same time as Gaddis's last novel ublished posthumously in 2002 by Viking? The Rush for Second Place.,0
What is the nationality of the person who Space Art opened for in 1981? French.,0
"Which member of the duo who wrote ""The Sound of Silence"" had a musical career that spanned seven decades? Paul Simon",0
To Which British professional boxer did  Neven Pajkić lost? Tyson Fury.,0
Who is the wife of the American actor who starred in the move Ace High? Anne Jackson.,0
"Jo & Friends includes work by what other musician, who was once the highest-paid entertainer in the world?   Liberace",0
What is the name of the network that comes on at 8:00pm-6:00am and has a popular show called Rick and Morty? Adult Swim.,0
Franck Khalfoun directed the 2007 horror film that starred whom? Rachel Nichols and Wes Bentley.,0
"What famous pioneer frontiersman was born in Oley Township, Berks County, Pennsylvania? Daniel Boone",0
Which of the following is featured on several television programs on Food Network: Konstantin Orbelyan or Geoffrey Zakarian? Geoffrey Zakarian,0
What local Hong Kong television station organized the event where Cora Miao won the Miss Photogenic award? TVB.,0
The Hilbert lunar crater was named after a man that died in what year?1943.,0
Eric Harrison is best known as the youth coach of an iconic group of players including Gary Neville at which Premier League club? Manchester United.,0
"Which Canadian actress starring in the television series ""Andromeda"" starred with Steve Austin and Michael Jai White in Tactical Force? Lexa Doig.",0
Willem Frederik count of Bylandt commanded a Belgian-Dutch infantry brigade in a battle that took place on what date?16 June 1815.,0
"In the same NBA Draft where Kwame Brown was the first high school player to be drafted with the first overall pick, Ear Joesph was drafted the Supersonics, what draft was that? 2001 NBA draft.",0
Who was the founder of an animation studio which cooperated with Marvel Animation to created a micro-series based on comics in 2010? Phil Roman.,0
What is the capital city of Jujuy Province in northwest Argentina where  Mario Humberto Lobo is born? San Salvador de Jujuy.,0
"Which center for the San Antonio Spurs in the National Basketball Association (NBA) averaged 25.6 points, 13.0 rebounds, and 3.9 blocks per game? David Robinson",0
"What is the name of this English naturalist, geologist and biologist who mentioned the French botanist, Henri Lecoq, 1859 in the preface of his book? Charles Darwin",0
"What electronic band's  song ""Dangerous"" was certified gold by the RIAA in May 2015? Big Data.",0
"In what year did the American professional stock car racing driver that finished third in the September 5, 2010 Atlanta Motor Speedway was born?1975.",0
Daphne Slater attended what school founded by one of the Great Twelve Livery Company's of the City of London?  Haberdashers' Aske's School for Girls.,0
"Which American actor, filmmaker, musician and comedian born in 1978 was depicted in the music video of ""Dick in a Box?"" Andy Samberg",0
"What is the name of the country whose capital is in the north-east and birthplace of footballer, Khama Billiat? Zimbabwe",0
"When Francesco Totti retired from his midfield role at AS Roma, who replaced him as club captain? Daniele De Rossi.",0
What Epcot attraction used the same theme song as an attraction replaced in Disneyland by America Sings in 1974? Horizons.,0
"Which co-founder of Instagram was born December 30, 1983? Kevin Systrom.",0
Which Led Zepplin bassist arranged Meic Stevens first single for Decca Records? John Paul Jones.,0
How many seasons did the man who runs KnowledgeWare play in the NFL ?18 seasons. ,0
Kenny Dies is the 13th episode of an animated series created by what two people? Trey Parker and Matt Stone.,0
Which 42nd President of the United States pardoned Preston Theodore King in 2000? Bill Clinton,0
"Which ""South Park"" creator was born on May 26, 1971? Matt Stone",0
"The Ferryman, a 2017 play by Jez Butterworth, casts which British film, television, and stage actor, who was born in 1967? Stuart Graham.",0
"O'Sheas Casino is a casino located within which 2,640-room hotel, casino and shopping promenade on the Las Vegas Strip in Paradise, Nevada? The Linq",0
The actor who directed the crime-drama The Heist was born in what year?1966.,0
What South Korean musician starred in Orange Marmalade? Lee Jong-hyun,0
"According to the 2010 census, what was the population of the city in which Baking Powder Creek is located?63,395.",0
"The Mask, starring Jim Carrey, also marked the film debut of which star actress and voice artist? Cameron Diaz",0
"Who is the star that appeared in the movie Mr. Deeds with Adam Sandler and made her film debut in the film ""Lucas"" ? Winona Ryder",0
"What is the name of the artificial hill in the water theme park located at the Walt Disney World Resort in Orlando, Florida? Mount Gushmore",0
When was the University that Elio Lo Cascio teaches Roman history at founded?1303.,0
What singer had a song reach number ninety-eight on the UK Singles Chart and was featured in a film starring Jeff Bridges and Ryan Reynolds? Robyn.,0
"Who is a sponsor of Hollywood playhouse that also was founded in Albany, New York? Woodbury Soap Company.",0
Strandloper was based on the story about an English convict who was transported to what country? Australia,0
Which star of Poison Ivy received two Primetime Emmy Award nominations? Sara Gilbert.,0
"In 2016, who published the first-person shooter video game that won many awards? Bethesda Softworks.",0
Wilmington Trust was founded by an American engineer and politician who serves as a United States Senator from what state? Delaware,0
"What city has a population approaching 21,000 and had a peaceful protest against corporate greed? Ashland, Oregon.",0
Constance Ortmayer designed the coin that was first struck in what year?1936.,0
Pacific Fibre competed with the trans-Pacific network of communications that was commissioned in what year?2000.,0
Two Lanes of Freedom included a cameo by which other male country singer on guitar? Keith Urban.,0
"Which author, known for her book ""The Secret Diary of Laura Palmer"" directed the 2012 psychological thriller slasher film Chained? Jennifer Lynch.",0
"Vilayat Khan helped introduce Indian Classical Music to the West, along with what other musician who was a student of Baba Allauddin Khan? Nikhil Banerjee",0
"Which French theme park with several 3D cinemas and a few 4D cinemas along with other attractions and shows, which was the starting point of a Tour de France race? Futuroscope.",0
Who was the Medal of Honor recipient who has a cutter named after him? Douglas Albert Munro.,0
"What American football coach once took over for Mike Cavan, and now coaches the Panthers? Phil Bennett.",0
Air Algérie Flight 5017  was operated by an airline headquartered in what country? Spain.,0
Route 66 State Park is located on the former site of a town 2 mi east of what city? Eureka.,0
"British Steel, ""Hero Hero"" and ""Point of Entry"" are albums by which British metal band?\nJudas Priest",0
Which Dutch philosopher of Sephardi/Portuguese origin made a contribution in conatus? Baruch Spinoza,0
What Canadian journalist from Nairobi wrote the Pirates of Somalia? Jay Bahadur,0
Who was the son of British radio and television presenter and historian best known as an analyst of election results? Dan Snow.,0
"In between Wayne Black and Iván Molina, who is Colombian? Iván Molina",0
"Which film starring Bob Hoskins, Christopher Lloyd, and others, spawned a series of short films from 1998 to 1993? Who Framed Roger Rabbit.",0
Hawaiian tropical dry forests have a dominant tree species of which tree in the pea family? Acacia koa,0
"Robert Rihmeek Williams, aka Meek Mill, appeared in the 2015 tour of which major recording artist? Nicki Minaj",0
Which South Korean television drama series stars a boy group formed by S.M. Entertainment in 2008? To the Beautiful You.,0
"So Long, Scarecrow is titled in reference to which 1939 musical fantasy film? The Wizard of Oz",0
"Monk starred Tony Shalhoub, Traylor Howard, Jason Gray-Stanford and what American actor born in 1957 Ted Levine",0
 Ron Dugans was hired in 2010 by what American football coach that is currently the head coach at the University of South Florida. Charlie Strong,0
"Which member of the crime drama television series ""Fargo"" played Bilbo Baggins in Peter Jackson's ""The Hobbit""? Martin Freeman.",0
"The band At the Drive-In from El Paso, Texas released its first EP entitled what? Hell Paso.",0
"In what year was the writer of ""The Adventures of Johnny Bunko: the Last Career Guide You'll Ever Need"" born?1964.",0
The short story from The Wind’s Twelve Quarters that won the Hugo Award in 1974 was published in what year?1973.,0
After how many days did the manager born in July of 1955 resign from the Manchester City Football Club?32 days.,0
What Christmas-themed entertainment program has existed since 1955 and is rival to Google Santa Tracker? NORAD Tracks Santa.,0
"Which of these is from the series that has released films as of 2009, Scooby-Doo! and the Samurai Sword or Superman/Batman: Public Enemies? Scooby-Doo! and the Samurai Sword",0
"What American quantum physicist is featured in the film, Dalai Lama Awakening? Fred Alan Wolf.",0
Who won the championship the same year that Sevilla Fútbol Club failed to qualify for European competition? Valencia.,0
Stephen Oremus was the arranger and orchestrator for which 2004 American jukebox musical with Elvis Presley music and with a book by Joe DiPietro? All Shook Up,0
"During the 1989 Coupe de France Final, which former French professional football player born in 1963 contributed a great deal to the victory of Olympique de Marseille? Jean-Pierre Papin",0
The 904th Expeditionary Air Refueling Squadron was last assigned at a base which closed in which year ?1993,0
Which son of the character whose origin stems from Raphael Holinshed flees to Ireland? Donalbain,0
" ""The World Is in My Hands"" is a song recorded by a German dance music act with an estimated net worth of over how much?7 million.",0
 The Great State of Maine Air Show was run for a number of years by a military airport that reopened as what? Brunswick Executive Airport.,0
Island Park is a village located in southern Nassau County. What does the train cross over on the southwest of the station? Reynolds Channel.,0
"Judah Lewis, an American child actor, is known for his roles in the films Deliverance Creek, and this, a 2015 USA drama directed by Jean-Marc Vallée? Demolition",0
"In 2007, which network aired the eleventh season of the animated television series created by Trey Parker and Matt Stone? Comedy Central.",0
"The song ""Synchronicity I"" was written by a musician born in what year? 1951",0
Space Island One starred what English actress who is married to roy battersby Judy Loe,0
Which round spectacle wearing basketball player played with the Lakers during the 1947-48 National Basketball League championship ? George Mikan,0
"Who directed the episode of ""Black Mirror"" in which Daniel Kaluuya played Bing? Euros Lyn.",0
Who defeated American professional tennis player and former World No.1 in the sport? David Ferrer. ,0
The Uncluded was a folk rap group formed by which half of The Moldy Peaches? Kimya Dawson,0
The FREE Initiative was the first project endorsed by governments after an attack by a far-right terrorist who shot dead how many people at a summer camp?69,0
"Which film did the hostess of ""Wheel of Fortune"" star in, that premiered November 20, 1988?  Goddess of Love.",0
"What is the 2010 population of the city in which John Adams School is located within?55,643",0
Encyclopedia of Afghan Jihad was a manual found in the residence of which Egyptian cleric? Abu Hamza al-Masri,0
What year was the writer of the short story collection Cathedral born?1938.,0
In his final MLB at bat Bud Hardin grounded out to a player who was inducted into the Baseball hall of fame in what year?1984.,0
What team did the Bristol Rovers play against in the game which promoted them from the Conference Premier? Grimsby Town.,0
"BurningAngel, starring Joanna Angel, was launched as a response to websites such as which website founded in 2001 by Selena Mooney that revolves around pin-up photography sets of models and provides paying customers access to images provided by models and photographers worldwide? SuicideGirls",0
The band that performed a song used worldwide as an anti-fascist hymn was formed in what year?1990,0
Ateletico De Kolkata plays in a league that has how many teams ?10 teams.,0
Raai Laxmi is making her Bollywood debut in the sequel to what 2004 film? Julie 2.,0
What year was the actor born that starred in both Duel at Diablo and Space Cowboys?1928,0
"What guest musician that was featured in Derek Sherinian's albums won the ""Best Rock Bass Player"" readers' poll from ""Guitar Player"" magazine five times for his ""lead bass"" playing style? Billy Sheehan.",0
Moonraker is the soundtrack to a James Bond film released in what year?1979,0
In what year did the building commence for this seat of the Anglican bishop whose namesake was the Dean named Edward Charles Wickham from 1894 to 1910?1088,0
"Which American engineer and former astronaut travelled to the moon alongside Neil Armstrong, Michael Collins, and Edwin E. Aldrin, Jr. as a member of Apollo 11? Buzz Aldrin",0
"Which car, produced by Ferrari from 1962 to 1964 for homologation into the FIA's Group 3 Grand Touring Car category inspired the Vandenbrink GTO? Ferrari 250 GTO.",0
Willis & Geiger Outfitters outfitted which female aviation pioneer who helped form the WAAC? Jacqueline Cochran.,0
What was the nationality of the director of the British joint-stock company founded in 1711? English.,0
"Transcendence stars this actress who also appeared in the Netflix show ""House of Cards""  Kate Mara",0
"AKS Lytham was formed from the merger of King Edwards VII and Queen Mary School and which independent school in Blackpool, Lancashire, England? Arnold School",0
In what year was the town where the Howard Centre is located founded as a garden city?1920.,0
What private research university did the opera Trouble in Tahiti make it's first performance? Brandeis University,0
"John Maier is brewmaster for what Ashland, Oregon brewery? Rogue Ales.",0
What state did the attacks occur in which Ma Anand Sheela was found guilty for her role in? Oregon,0
Which red wine variety made in Nistreana is increasingly celebrated as an Argentine varietal wine? Malbec.,0
In what year did the submarine that sank the Tsushima Maru open to public tours?1981.,0
Who had only one brother and was a british executioner for 23 years? John Ellis,0
Full Moon is the debut extended play by a singer that was a former member of what South Korean girl group? Wonder Girls.,0
Blood Is Blood starred an actress that was born in what year?1981,0
Isaac de Forcade de Biaix was a Knight of the Order of an order established in what year?1740.,0
"Which city that publishes the Marathi daily newspaper 'Loksatta' is titled ""The City of Gates""? Aurangabad.",0
"This far-right, anti-government American organization who supported the defendant in a trial over the violation of 18 U.S.C. § 922(o), claims a a membership of how many people?35,000.",0
SHODAN is a fictional artificial intelligence and main antagonist of which 1994 PC game? System Shock,0
Pink is a song by which Boston-based rock band? Aerosmith,0
"What year was the Voivodeship, where Anna Maria Borowska was born, created? 1926.",0
"Which American singer, songwriter, fashion designer, actress, and television personality of the band No Doubt wrote the song ""Happy Now?""? Gwen Stefani",0
What English and American political activist wrote a book that helped Joseph L. Lewis leave theism? Thomas Paine.,0
Andrew Form produced which 2013 dystopian horror film? The Purge,0
A Lady's Morals starred which English aviator and amateur boxing champion? Reginald Denny.,0
Which stock car automobile race held in December did Dave Mader III win? The Snowball Derby.,0
Who stared in the 1999 Italian movie Lucignolo and was born on 18 December 1971? Claudia Gerini.,0
Which pageant was held at the T-Mobile Arena in 2016 was won by Deshauna Barber? Miss USA 2016.,0
On which day was the host of the BBC game show that aired from 18 August 2014 to 31 August 2015 born?28 November 1970,0
What nationality is the bassist who joined Nightwish in 2002? Finnish.,0
Who was the coach who left for Milan the same year that the first golden goal scorer was topscorer for Udinese Calcio? Alberto Zaccheroni.,0
Which recent graduate of Grêmio F.B.P.A. Academy has gone on to become a defensive midfielder for the Brazil national team? Lucas Leiva.,0
"Which director is from India, Hall Bartlett or Kamal Haasan? Kamal Haasan.",0
For Whom the Bell Tolls is a song that was on an album that was released in what year?1984,0
"Take a Little Trip was recorded by a band formed in which city ? Fort Payne, Alabama",0
"What year was the ship, in which Sink the Belgrano! was based on, listed as out of service?1982.",0
"Which Lieutenant Governor of California issued proclamations for ""Exotic Erotic Ball Day"" in San Francisco?  Gavin Newsom.",0
"What team won a 2017 cricket match played at a cricket ground designed by famous architect and engineer Nasreddin Murat-Khan, and constructed by Mian Abdul Khaliq and Company in 1959? Peshawar Zalmi.",0
what year did the winner of the 1992 South African Grand Prix with the CART Indy Car World Series?1993,0
What album produced by Rick Rubin features a cartoon character named Jerome McElroy? Chef Aid: The South Park Album.,0
Which first-person shooter game that was developed by FASA studio allows cross-platform play? Shadowrun.,0
"How many seasons did, the Guard with a FG% around .420, play in the NBA ?14 seasons. ",0
"Elinor ""Ellie"" Walker was a fictional character on the sitcom airing on which network? CBS. ",0
Which British national museum holds Over The Top and banches at five locations in England? Imperial War Museum.,0
"Which American rapper wrote the song titled ""Love the Way You Lie (Part II)""? Eminem",0
"Steve Jobs was the founder, chairman, and CEO of a company based in what California city? Redwood City",0
Texas v. White and United States v. Curtiss-Wright Export Corp. were argued in what court? The Supreme Court.,0
 Live at Winterland '68 is an album by an American rock singer who died of a neroin overdoase at what age?27,0
"Lucila Salao, a Filipino sprinter, competed in the women's 4 x 100 meters relay at an international multi-sport event that was held in what city? Munich.",0
Who did the box cover art for Keith Martin to make Night Below? Jeff Easley.,0
Sir Francis Nethersole was secretary to an Electress that is often referred to by what nickname? The Winter Queen.,0
"What was the nationality of the person who said Leonard Jimmie Savage was ""one of the few people I have met whom I would unhesitatingly call a genius""? American.",0
Tiergarten had a single track from the album released through which label? Geffen Records,0
