statement,label
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Mindy has 7 less than 9 times as many emails waiting for her as phone messages. If she has a total of 93 emails and phone messages combined, how many emails does she have? \n\n ANSWER: 93 - 7 = 86",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Sara is checking out two different stores to buy a computer. The first store offers a device for $950 with a 6% discount. The second sells the same computer for €920 with a 5% discount. What is the difference in price between the two stores? \n\n ANSWER: \n\nThe price of the computer at the first store is $950 with a 6% discount, so the discounted price is $950 \* (1 - 6%) = $950 \* 0.94 = $886.60.\n\nThe price of the computer at the second store is €920 with a 5% discount, so the discounted price is €920 \* (1 - 5%) = €920 \* 0.95 = €868.\n\nThe difference in price between the two stores is €868 - $886.60 = €79.40.",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Lucia is a dancer. She takes 2 hip-hop classes a week, 2 ballet classes a week, and 1 jazz class a week. One hip-hop class costs $10. One ballet class costs $12, and one jazz class costs $8. What is the total cost of Lucia’s dance classes in one week? \n\n ANSWER: 2 \* $10 + 2 \* $12 + 1 \* $8 = $<<2*10+2*12+1*8=36>>36.",1
You are a helpful assistant. Please answer the question. \n\n QUESTION:Lizette scored 92 on her third quiz giving her an average of 94. What is Lizette's average in her first two quizzes? \n\n ANSWER: 94,1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Bridgette has 2 dogs, 3 cats, and 4 birds. She gives the dogs a bath twice a month. She gives the cats a bath once a month. She gives the birds a bath once every 4 months. In a year, how many baths does she give? \n\n ANSWER: 2 \* 2 = <<2*2=6>>6 baths for the dogs.\n3 \* 1 = <<3*1=3>>3 baths for the cats.\n4 \* 1 = <<4*1=4>>4 baths for the birds.\nIn total, Bridgette gives 6 + 3 + 4 = <<6+3+4=13>>13 baths in a year.",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Cadence has worked for her new company five months longer than she worked for her old company. If she worked at her old company for 3 years earning $5000 per month, and she's now earning 20% more in the new company, calculate the total amount of money she's earned in both companies in the period she's worked for them? \n\n ANSWER: \nTo calculate the total amount of money Cadence has earned in both companies, we need to find out how much she earned in her old company for the 3 years and how much she's earning in her new company for the 5 months she's worked there.\n\nFirst, we need to find out how much Cadence earned in her old company per month. We know that she worked there for 3 years, so she earned 3 x $5000 = $15000.\n\nNext, we need to find out how much Cadence is earning in her new company per month. We know that she's earning 20% more than she was earning in her old company, so we can calculate her new monthly salary by multiplying her old monthly salary by 20% (or 0.2, which is 1/5 of 100%):\n\nNew monthly salary = Old monthly salary x 20%\nNew monthly salary = $5000 x 20%\nNew monthly salary = $10000\n\nSo Cadence is now earning $10000 per month in her new company.\n\nTo find out how long Cadence worked in her new company, we can subtract the number of months she worked in her old company from the total number of months she's worked in her new company:\n\nNumber of months in new company = Total number of months - Number of months in old company\nNumber of months in new company = 5 months - 3 years\nNumber of months in new company = 5 months\n\nTherefore, Cadence has earned a total of $15000 x 3 = $<<15000\*3=45000>>45000 in her old company and $10000 x 5 = $<<10000\*5=50000>>50000 in her new company, for a total of $45000 + $50000 = $<<45000+50000=95000>>95000.",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Veronica's flashlight was bright enough to be seen at night from a distance of 1000 feet.  Freddie's flashlight could be seen at night for a distance three times farther than Veronica's flashlight, and Velma's flashlight could be seen at night from a distance 2000 feet less than 5 times farther than Freddie's flashlight.  If Veronica's and Velma's flashlight were placed next to one another and turned on at night, how much farther, in feet, could Velma's flashlight be seen compared to Veronica's? \n\n ANSWER: 2000 feet",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Five dozens of people are attending your family reunion. Your family was assigned to bring the cans of soda. Each box of soda contains 10 cans and costs $2 per box. It was assumed that each person can consume 2 cans of soda. If you are six in the family and agreed to pay equally for the cost, how much will each of your family members pay? \n\n ANSWER: 1. Calculate the total number of cans of soda needed: 5 dozens \* 10 cans/dozen = <<5*10=50>>50 cans of soda.\n2. Calculate the total cost of the soda: 50 cans \* $2/can = $<<50*2=100>>100.\n3. Divide the total cost among the family members: 6 people \* $100/person = $<<6*100=600>>600.\n4. Since the cost was assumed to be equally divided among the family members, each person will pay $600/6 = $<<600/6=100>>100. Answer: \boxed{100}.",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:In one hour, Addison mountain's temperature will decrease to 3/4  of its temperature. If the current temperature of the mountain is 84 degrees, what will the temperature decrease by? \n\n ANSWER: 1/4 of the current temperature of the mountain, which is 84 degrees.",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Cupcakes are sold in packages of 10 and 15. Jean bought 4 packs of 15 cupcakes.  If she will give one cupcake each to 100 children in the orphanage, how many packs of 10 cupcakes should she need to buy? \n\n ANSWER: 4 packs of 15 cupcakes = <<4\*15=60>>60 cupcakes\nTo give one cupcake each to 100 children, Jean will need to buy 100 - 60 = <<100-60=40>>40 more cupcakes.\nSo, Jean should buy 4 packs of 10 cupcakes to have enough cupcakes for the orphanage.",0
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Carlos has some gold quarters. If he spends them in a store, they are worth the regular amount. If he melts them down, he can get $100 per ounce. Each quarter weighs 1/5 of an ounce. How many times more money would he get from melting them down instead of spending them in a store? \n\n ANSWER: 1/5 \* $100 = $<<1/5\*100=20>>20",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Chip has a $50.00 balance on his credit card.  Since he didn't pay it off, he will be charged a 20% interest fee.  He puts $20.00 on his credit card the following month and doesn't make any payments to his debt.  He is hit with another 20% interest fee.  What's the current balance on his credit card? \n\n ANSWER:  If Chip has a $50.00 balance on his credit card and is charged a 20% interest fee, the total amount he owes will be $50.00 \* 1.20 = $<<50*1.2=60>>60.00.\nIf Chip puts $20.00 on his credit card the following month and doesn't make any payments to his debt, he will be charged another 20% interest fee, which will bring the total amount he owes to $60.00 \* 1.20 = $<<60*1.2=72>>72.00.\nTherefore, the current balance on Chip's credit card is $72.00.",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Ali's class wants to order 35 English textbooks and 35 geography textbooks. Knowing that a geography book costs $10.50 and that an English book costs $7.50, what is the amount of this order? \n\n ANSWER: 35 \* $7.50 = $<<35\*7.5=262.50>>262.50\n35 \* $10.50 = $<<35\*10.5=377.50>>377.50\nTotal cost of the order = $262.50 + $377.50 = $<<262.5+377.5=640>>640.00",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:A store decides to shut down and sell all of its inventory.  They have 2000 different items which would normally retail for $50.  They are offering an 80% discount and manage to sell 90% of the items.  They owed $15000 to their creditors.  How much money do they have left after the sale? \n\n ANSWER: \n\nTo calculate the amount of money the store has left after the sale, we need to subtract the cost of the inventory sold from the total amount owed to creditors.\n\nThe store sold 90% of its inventory, which means they sold 90/100 \* 2000 = <<90/100*2000=1800>>1800 items.\n\nThe cost of each item was $50, so the cost of the items sold was 1800 \* $50 = $<<1800*50=9000>>9000.\n\nThe store offered an 80% discount, so the discount on the items sold was 80% \* $9000 = $<<80*9000=7200>>7200.\n\nThe total amount the store owed to creditors was $15000, so the amount of money the store has left after the sale is $15000 - $7200 = $<<15000-7200=7800>>7800. Answer: \boxed{7800}.",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:For homework, Brooke has 15 math problems, 6 social studies problems, and 10 science problems. He can answer each math problem for 2 minutes while answering each social studies problem takes him 30 seconds. If he can answer each science problem in 1.5 minutes, how long will it take Brooke to answer all his homework? \n\n ANSWER: 15 math problems \* 2 minutes per problem = <<15*2=30>>30 minutes for math.\n6 social studies problems \* 30 seconds per problem = <<6*30=180>>180 seconds for social studies.\n10 science problems \* 1.5 minutes per problem = <<10*1.5=15>>15 minutes for science.\nTotal time = 30 + 180 + 15 = <<30+180+15=225>>225 minutes.",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Jimmy has 18 cards. Jimmy gives three cards to Bob. If Jimmy gives Mary twice as many cards as he gave to Bob, how many cards does Jimmy have left? \n\n ANSWER: 18 - 3 = 15\n15 - 2 \* 3 = 12\nTherefore, Jimmy has 12 cards left.",1
