statement,label
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Mason is trying to download a 880 MB game to his phone. After downloading 310 MB, his Internet connection slows to 3 MB/minute. How many more minutes will it take him to download the game? \n\n ANSWER: \n\n To find out how many more minutes it will take Mason to download the game, we need to calculate the total amount of data that he needs to download and the current download speed.\n\n The total amount of data that Mason needs to download is 880 MB.\n\n The current download speed is 3 MB/minute.\n\n To find out how many more minutes it will take Mason to download the game, we can divide the total amount of data by the current download speed:\n\n880 MB / 3 MB/minute = 293.33 minutes\n\nSo, it will take Mason approximately 293.33 minutes to download the game.",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Maria collects stamps and wants to enlarge her collection. She has collected 40 stamps so far and plans to have 20% more. How many stamps in total does Maria want to collect? \n\n ANSWER: \n\n To find the total number of stamps Maria wants to collect, we need to first find the number of stamps she plans to add to her collection. Since she wants to have 20% more stamps, we can find the number of additional stamps by multiplying the number of stamps she already has by 20% (or 0.2):\n\nAdditional stamps = 40 stamps \* 0.2 = 8 stamps\n\nSo Maria plans to collect a total of 40 stamps + 8 stamps = 48 stamps.",0
"You are a helpful assistant. Please answer the question. \n\n QUESTION:One hundred people attended a party. Fifty percent of the attendees are women, thirty-five percent of them are men, and the rest are children. How many children attended the party? \n\n ANSWER: \n\n To find out how many children attended the party, we need to use the information given in the question. We know that 50% of the attendees are women, 35% are men, and the rest are children. We can use these percentages to find the total number of men and women, and then subtract that total from 100 to find the number of children.\n\n First, we can find the total number of women and men by multiplying the number of women by 50% and the number of men by 35%.\n\n 50% of 100 = 50\n35% of 100 = 35\n\n Next, we can add the number of women and men to find the total number of attendees who are not children.\n\n 50 + 35 = 85\n\n Finally, we can subtract the total number of attendees who are not children from 100 to find the number of children who attended the party.\n\n 100 - 85 = 15\n\n Therefore, 15 children attended the party.",0
"You are a helpful assistant. Please answer the question. \n\n QUESTION:This year the Oscar swag bags include two diamond earrings that cost $6,000 each, a new iPhone that costs $2,000, and some designer scarves that each cost $1,500. If the total value of the swag bag is $20,000, how many scarves are there? \n\n ANSWER: \n\n Let's use the fact that the total value of the swag bag is $20,000 to set up an equation. Let x be the number of scarves. Then we have:\n\n2x designer scarves + 2 diamond earrings + 1 iPhone = $20,000\n\nWe know that each designer scarf costs $1,500, so we can substitute that in for x:\n\n2x designer scarves + 2 diamond earrings + 1 iPhone = $20,000\n2x + 2 + 1 = $20,000\n2x + 3 = $20,000\n\nNow we can solve for x:\n\n2x = $20,000 - 3\n2x = $19,997\nx = $9,998.50\n\nHowever, we know that there are no fractional scarves, so we need to round up to the nearest whole number of scarves. Therefore, there are 10 scarves in the swag bag.",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Robin wants to buy jelly bracelets for her friends. She decides to buy one bracelet for each letter of the first name of her friends. Her friends are Jessica, Tori, Lily and Patrice. If each jelly bracelet costs $2, what is the total she will spend in dollars? \n\n ANSWER: \n\nTo find the total amount that Robin will spend, we need to find the number of bracelets she will buy for each friend and then multiply that by the cost of each bracelet.\n\nFor Jessica, Robin will buy one bracelet for the letter J.\nFor Tori, Robin will buy two bracelets for the letters T and O.\nFor Lily, Robin will buy three bracelets for the letters L, I and Y.\nFor Patrice, Robin will buy four bracelets for the letters P, A, T and R.\n\nSo, the total number of bracelets Robin will buy is 1 + 2 + 3 + 4 = 10.\n\nThe total amount that Robin will spend is 10 bracelets \* $2/bracelet = $<<10*2=20>>20. Answer: \boxed{20}.",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Nicky went to the DMV. He spent 20 minutes waiting to take a number, and quadruple that amount of time plus 14 minutes waiting for his number to be called. How long did he wait total? \n\n ANSWER: \n\nNicky waited for 20 minutes to take a number, and then he waited for his number to be called for 4 times that amount of time plus 14 minutes, which is 4 \* 20 + 14 = 84 minutes.\n\nSo, Nicky waited a total of 20 + 84 = 104 minutes at the DMV.",0
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Kate saved $27 in March. She saved $13 in April and $28 in May. Then Kate spent $49 on a keyboard and $5 on a mouse. How much money does Kate have left? \n\n ANSWER: \n\nIn March, Kate saved $27.\nIn April, Kate saved $13.\nIn May, Kate saved $28.\n\nTotal savings: $27 + $13 + $28 = $78.\n\nKate spent $49 on a keyboard and $5 on a mouse.\n\nTotal spending: $49 + $5 = $54.\n\nKate has $78 - $54 = $<<78-54=24>>24 left. Answer: \boxed{24}.",0
"You are a helpful assistant. Please answer the question. \n\n QUESTION:During the Mardi Gras parade, Latch caught four less than three times as many necklaces as did Rhonda.  If Rhonda caught half as many necklaces as did Boudreaux, and Boudreaux caught twelve necklaces, how many necklaces did Latch catch? \n\n ANSWER: \n\nLet's start by using the information given in the question to set up an equation.\n\nLet R be the number of necklaces Rhonda caught, and B be the number of necklaces Boudreaux caught.\n\nFrom the question, we know that Rhonda caught half as many necklaces as Boudreaux, so we can write:\n\nR = 0.5B\n\nWe also know that Latch caught four less than three times as many necklaces as Rhonda, so we can write:\n\nL = 3R - 4\n\nFinally, we know that Boudreaux caught twelve necklaces, so we can write:\n\nB = 12\n\nNow we can substitute these values into the equation for R:\n\nR = 0.5 \* 12 = 6\n\nNow we can substitute this value of R into the equation for L:\n\nL = 3R - 4 = 3 \* 6 - 4 = 18\n\nTherefore, Latch caught 18 necklaces.",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:On his farm, Mr. Valentino has 200 chickens, twice as many ducks as chickens and three times as many turkeys as ducks. How many birds does Mr. Valentino have on the farm in total? \n\n ANSWER: \n\n Mr. Valentino has 200 chickens, twice as many ducks as chickens, so he has 200 \* 2 = 400 ducks.\nHe has 400 ducks, three times as many turkeys as ducks, so he has 400 \* 3 = 1200 turkeys.\nIn total, Mr. Valentino has 200 + 400 + 1200 = 1800 birds on the farm.",0
"You are a helpful assistant. Please answer the question. \n\n QUESTION:In a zoo, a hare is 14 inches tall, while a camel is 24 times taller than the hare. How tall is the camel in feet? \n\n ANSWER: \n\n Let's start by using the given information to write an equation. Let's call the hare's height ""h"" and the camel's height ""c"". We know that the camel is 24 times taller than the hare, so we can write:\n\nc = 24h\n\nNow, we need to convert the hare's height from inches to feet. There are 12 inches in a foot, so:\n\nh = 14 inches \* (1 foot / 12 inches) = 1.1667 feet\n\nNow we can substitute this value into our equation:\n\nc = 24h\nc = 24 \* 1.1667\nc = 27.5 feet\n\nSo the camel is 27.5 feet tall.",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:A mathematician is working on two projects. He has one week to write 518 maths questions for one project and 476 questions for another project. If he completes the same number of questions every day, how many should he aim to complete each day? \n\n ANSWER: \n\n Let's call the number of questions he should aim to complete each day ""x"".\n\nFor the first project, he needs to write 518 questions in one week, which is 7 days. So, he needs to write 518/7 = <<518/7=74>>74 questions per day.\n\nFor the second project, he needs to write 476 questions in one week, which is 7 days. So, he needs to write 476/7 = <<476/7=67.28>>67.28 questions per day.\n\nSince he needs to complete the same number of questions every day, he should aim to complete 74 questions per day for both projects.",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:John worked 8 hours a day every day from the 3rd to the 8th, including the 3rd and not including the 8th.  How many hours did he work? \n\n ANSWER:  John worked 8 hours a day from the 3rd to the 8th, including the 3rd and not including the 8th. Therefore, he worked a total of 8 hours on the 3rd and 8 hours on the 4th, 5th, 6th, and 7th. In total, John worked 8 + 8 + 8 + 8 + 8 = <<8+8+8+8+8=40>>40 hours.",0
"You are a helpful assistant. Please answer the question. \n\n QUESTION:A road has four lanes, and in each lane, the number of cars is twice as many as the number of trucks in all the lanes. If there are 60 trucks in each lane, calculate the total number of vehicles in all the lanes? \n\n ANSWER: \n\nLet's assume that there are x cars in each lane.\n\nIn each lane, the number of cars is twice as many as the number of trucks, so we have:\n\nx = 2t\n\nSince there are 4 lanes, the total number of trucks is 60 \* 4 = 240.\n\nTherefore, the total number of cars is x \* 4 = 2t \* 4 = 8t.\n\nSo the total number of vehicles in all the lanes is 60 + 8t.",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Tanya went to the grocery store to buy some fruit.  She bought 6 pears, 4 Granny Smith apples, 2 pineapples, and a small basket of plums, which were all placed in a single paper bag.  Unfortunately, the bag that the fruit had been placed in had developed a hole.  Therefore, as Tanya walked home, half of the fruit fell out of the bag.  When she later counted the fruit left in the bag, there were only 9 pieces remaining.  How many plums did she buy? \n\n ANSWER:  Tanya bought 6 pears, 4 Granny Smith apples, 2 pineapples, and a small basket of plums.  The total number of pieces of fruit she bought is 6 + 4 + 2 + x = 12, where x is the number of plums she bought.  Since only 9 pieces of fruit were left in the bag, the number of plums she bought must have been x = 12 - 9 = 3.  Therefore, Tanya bought 3 plums.",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Jerry's breakfast includes 6 pancakes with 120 calories each, two strips of bacon with 100 calories each, and a bowl of cereal with 200 calories. How many calories is his breakfast total? \n\n ANSWER: 6 pancakes \* 120 calories/pancake = <<6*120=720>>720 calories\n2 strips of bacon \* 100 calories/strip = <<2*100=200>>200 calories\nBowl of cereal \* 200 calories/bowl = <<1*200=200>>200 calories\nTotal calories = 720 + 200 + 200 = <<720+200+200=1120>>1120 calories",0
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Jacob is 24 years now. His brother Tony is half Jacob's age. In 6 years how old will tony be? \n\n ANSWER: 6 years later, Tony will be 24/2 = 12 years old.",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Tara is saving up to buy a new clarinet. She already has $10 saved. The clarinet costs $90. She plans to sell her old books to make the money. She sells each book of hers for $5. However, when she is halfway towards her goal, she loses all her savings and has to start over. How many books does she sell in total by the time she reaches her goal? \n\n ANSWER: \n\n Tara sells 9 books in total.\n\n EXPLANATION:\n\nTara needs to raise $90 to buy the clarinet. She sells each book for $5, so she needs to sell 90/5 = <<90/5=18>>18 books.\nHowever, when she is halfway towards her goal, she loses all her savings and has to start over. This means that she needs to sell 18/2 = <<18/2=9>>9 books to reach her goal again.\nTherefore, Tara sells a total of 18 - 9 = <<18-9=9>>9 books.",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:A store owner buys clothes wholesale and adds 80% to the wholesale price to set the retail price. The retail price of a pair of pants is $36. What is the wholesale price? \n\n ANSWER: \n\n Let's call the wholesale price of the pants ""x"".\n\nThe retail price of the pants is $36, so we know that:\n\nx + 0.8x = $36\n\nWe can simplify this equation by adding 0.8x to both sides:\n\n1.8x = $36\n\nNow we can divide both sides by 1.8 to find the wholesale price:\n\nx = $36 / 1.8\n\nx = $20\n\nSo the wholesale price of the pants is $20.",0
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Every room in a building has at least two windows and a maximum of 4 windows. There are 122 windows total. If 5 rooms have 4 windows and 8 rooms have 3 windows, how many rooms in the building have 2 windows? \n\n ANSWER: \n\nLet's start by using the fact that there are 122 windows total to find the number of rooms in the building. Since each room has at least two windows and at most four windows, we can set up the following equation:\n\n2(total number of rooms) + 4(total number of rooms) = 122\n\nSimplifying this equation, we get:\n\n4(total number of rooms) = 122 - 2(total number of rooms)\n\n4(total number of rooms) = 120 - 2(total number of rooms)\n\n4(total number of rooms) = 118 - 2(total number of rooms)\n\n4(total number of rooms) = 116 - 2(total number of rooms)\n\n4(total number of rooms) = 114 - 2(total number of rooms)\n\n4(total number of rooms) = 112 - 2(total number of rooms)\n\n4(total number of rooms) = 110 - 2(total number of rooms)\n\n4(total number of rooms) = 108 - 2(total number of rooms)\n\n4(total number of rooms) = 106 - 2(total number of rooms)\n\n4(total number of rooms) = 104 - 2(total number of rooms)\n\n4(total number of rooms) = 102 - 2(total number of rooms)\n\n4(total number of rooms) = 100 - 2(total number of rooms)\n\n4(total number of rooms) = 98 - 2(total number of rooms)\n\n4(total number of rooms) = 96 - 2(total number of rooms)\n\n4(total number of rooms) = 94 - 2(total number of rooms)\n\n4(total number of rooms) = 92 - 2(total number of rooms)\n\n4(total number of rooms) = 90 - 2(total number of rooms)\n\n4(total number of rooms) = 88 - 2(total number of rooms)\n\n4(total number of rooms) = 86 - 2(total number",1
