statement,label
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Mindy has 7 less than 9 times as many emails waiting for her as phone messages. If she has a total of 93 emails and phone messages combined, how many emails does she have? \n\n ANSWER: \nMindy has 7 less than 9 times as many emails waiting for her as phone messages. This means that if she has 93 emails and phone messages combined, then she has 93 - 7 = 86 emails. ",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Sara is checking out two different stores to buy a computer. The first store offers a device for $950 with a 6% discount. The second sells the same computer for €920 with a 5% discount. What is the difference in price between the two stores? \n\n ANSWER: \nThe difference in price between the two stores is:\n$950 - €920 = $30\n\nSo, Sara will save $30 by buying the computer from the second store.",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Lucia is a dancer. She takes 2 hip-hop classes a week, 2 ballet classes a week, and 1 jazz class a week. One hip-hop class costs $10. One ballet class costs $12, and one jazz class costs $8. What is the total cost of Lucia’s dance classes in one week? \n\n ANSWER: \nThe total cost of Lucia’s dance classes in one week is:\n$10 x 2 = $20 (hip-hop classes)\n$12 x 2 = $24 (ballet classes)\n$8 x 1 = $8 (jazz class)\nTotal cost = $20 + $24 + $8 = $52\nTherefore, the total cost of Lucia’s dance classes in one week is $52.",0
You are a helpful assistant. Please answer the question. \n\n QUESTION:Lizette scored 92 on her third quiz giving her an average of 94. What is Lizette's average in her first two quizzes? \n\n ANSWER: \nLizette's average in her first two quizzes is 90.,1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Bridgette has 2 dogs, 3 cats, and 4 birds. She gives the dogs a bath twice a month. She gives the cats a bath once a month. She gives the birds a bath once every 4 months. In a year, how many baths does she give? \n\n ANSWER: \nBridgette gives a total of 12 baths in a year.\n\n EXPLANATION:\nBridgette gives the dogs 2 x 2 = 4 baths per month.\nBridgette gives the cats 1 x 12 = 12 baths per year.\nBridgette gives the birds 4 x 4 = 16 baths every 4 months.\nTherefore, Bridgette gives a total of 4 + 12 + 16 = 12 baths in a year.",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Cadence has worked for her new company five months longer than she worked for her old company. If she worked at her old company for 3 years earning $5000 per month, and she's now earning 20% more in the new company, calculate the total amount of money she's earned in both companies in the period she's worked for them? \n\n ANSWER:  Cadence has earned a total of $180,000 in both companies combined.\n\n EXPLANATION:\nTo calculate the total amount of money Cadence has earned in both companies, we need to know how long she worked for each company. We are given that she worked for her old company for 3 years, which is equal to 36 months. She has worked for her new company for 5 months longer than that, which is equal to 36 + 5 = 41 months.\nSince Cadence earns 20% more in her new company than she did in her old company, we can calculate her monthly earnings in the new company as follows:\n$5000 x 1.20 = $6000\nSo, Cadence earns $6000 per month in her new company. To find the total amount of money she's earned in both companies, we multiply her monthly earnings in each company by the number of months she worked for each company:\n$6000 x 36 = $216,000 (for her old company)\n$6000 x 41 = $246,000 (for her new company)\nAdding these two amounts together gives us the total amount of money Cadence has earned in both companies:\n$216,000 + $246,000 = $462,000\nTherefore, Cadence has earned a total of $462,000 in both companies combined during the 5 months she worked for her new company.",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Veronica's flashlight was bright enough to be seen at night from a distance of 1000 feet.  Freddie's flashlight could be seen at night for a distance three times farther than Veronica's flashlight, and Velma's flashlight could be seen at night from a distance 2000 feet less than 5 times farther than Freddie's flashlight.  If Veronica's and Velma's flashlight were placed next to one another and turned on at night, how much farther, in feet, could Velma's flashlight be seen compared to Veronica's? \n\n ANSWER: 1500 feet. ",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Five dozens of people are attending your family reunion. Your family was assigned to bring the cans of soda. Each box of soda contains 10 cans and costs $2 per box. It was assumed that each person can consume 2 cans of soda. If you are six in the family and agreed to pay equally for the cost, how much will each of your family members pay? \n\n ANSWER: \nEach of your family members will pay $2 x 2 = $4 for the 2 cans of soda they consumed. Since there are 5 dozens of people attending the reunion, and each person consumed 2 cans of soda, the total cost of soda for the reunion is $4 x 5 = $20. Since your family agreed to pay equally, each member of your family will pay $20 / 6 = $3.33 for their share of the soda cost.",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:In one hour, Addison mountain's temperature will decrease to 3/4  of its temperature. If the current temperature of the mountain is 84 degrees, what will the temperature decrease by? \n\n ANSWER: \nThe temperature of Addison mountain will decrease by 3/4 of 84 degrees, which is equal to 61 degrees. \n\nSo, the new temperature of Addison mountain after one hour will be 84 - 61 = 23 degrees.",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Cupcakes are sold in packages of 10 and 15. Jean bought 4 packs of 15 cupcakes.  If she will give one cupcake each to 100 children in the orphanage, how many packs of 10 cupcakes should she need to buy? \n\n ANSWER:  Jean should buy 4 packs of 10 cupcakes.\n\n EXPLANATION:  Jean has 40 cupcakes in total (4 packs of 15 cupcakes). If she wants to give one cupcake each to 100 children in the orphanage, she will need 40 cupcakes / 100 children = 0.4 packs of 10 cupcakes. Since you cannot buy a partial pack of cupcakes, Jean should buy 4 full packs of 10 cupcakes.",1
